Arabic;abuzar3.khalid, AhmedHll, Ammar99, badarotti, fake4K, HeshamTB, keunes, mars_amn, Mehyar, mh.abdelhay, mhamade, moftasa, mohmans, MustafaAlgurabi, nabilMaghura, rex07, shubbar
Asturian (ast_ES);enolp, keunes
Azerbaijani;5NOER227O, xxmn77
Basque;a_mento, bipoza, gaztainalde, IngrownMink4, keunes, Osoitz, pospolos
Bengali;laggybird
Breton;Belvar, Eorn, EwenKorr, FlorentTroer, Iriep, keunes, technozuzici
Bulgarian;keunes, ma4ko, mihainov, ppk89, solusitor, x7ype
Catalan;arseru, badlop, bluegeekgh, carles.llacer, dvd1985, exort12, IvanAmarante, javiercoll, keunes, Kintu, lambdani, marcmetallextrem, prova, sandandmercury, xc70
Chinese (zh_CN);135e2, aihenry2980, Biacke, brnme, claybiockiller, clong289734997, cyril3, Felix2yu, gaohongyuan, Guaidaodl, Huck0, iconteral, jhxie, jxj2zzz79pfp9bpo, JY3, keunes, kyleehee, molisiye, owen8877, RainSlide, RangerNJU, Sak94664, spice2wolf, tupunco, wongsyrone, Xrodo, yangyang, yiqiok
Chinese (zh_TW);bobchao, BWsix, ijliao, keunes, LNDDYL, mapobi, pggdt, ymhuang0808
Czech (cs_CZ);anotheranonymoususer, befeleme, Benda, elich, Hanzmeister, jjh, JStrange, kudlav, McLenin666, md.share, ShimonH, svetlemodry, Thomaash, viotalJiplk
Danish;deusdenton, ERYpTION, JFreak, jhertel, keunes, mikini, petterbejo, SebastianKiwiDk
Dutch;e2jk, keunes, mijnheer, oldblue, rwv, twijg, Vistaus, y33per
Estonian;beez276, Eraser, keunes, mahfiaz, Rots
Finnish;Ban3, keunes, ktstmu, Kuutar, noppa, Sahtor, scop, teemue
French;5moufl, 5NOER227O, ayiniho, ChaoticMind, clombion, Cornegidouille, Daremo, e2jk, keunes, klintom, Kuscoo, lacouture, LouFex, manuelleduc, Matth78, paolovador, petterbejo, PierreLaville, Poussinou, RomainTT, sterylmreep, teamon, Thoscellen
Galician;antiparvos, pikamoku, Raichely, Sirgo
